time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.062904,0,0,0,0.5005,0.0468,-1.398,0,0,0
0.082904,0.1214,-0.5421,0.1835,0.0845,0.05765,0.01495,0,0,0
0.102904,0.1214,-0.5421,0.1835,-0.00225,0.06625,0.0076,0,0,0
0.122904,0.1445,-0.5192,0.121,-0.05975,0.05705,0.001,0.5063,-42.6938,-2.325
0.142904,0.1301,-0.5419,0.1098,-0.03035,-0.00895,0.0045,0.5063,-42.6938,-2.325
0.162904,0.1294,-0.5916,0.1643,-0.0078,-0.0388,0.001,-1.1531,-22.1438,-20.2875
0.182904,0.1557,-0.6039,0.185,0.02515,-0.05535,0.00575,-2.8125,-1.5938,-38.25
0.202904,0.1773,-0.5525,0.162,0.0252,-0.04435,0.02045,-2.8125,-1.5938,-38.25
0.222904,0.1855,-0.5772,0.1592,0.0203,-0.0462,0.0217,-2.57815,-1.7344,-38.00625
0.242904,0.1837,-0.5394,0.1392,0.0026,-0.04375,0.0119,-2.3438,-1.875,-37.7625
0.262904,0.24,-0.4449,0.0963,-0.02,-0.05595,0.0137,-2.3438,-1.875,-37.7625
0.282904,0.1988,-0.5528,0.0963,-0.04565,-0.0572,0.0143,-2.3438,-1.875,-37.7625
0.302904,0.1948,-0.6654,0.1873,-0.04815,-0.07735,0.00575,-2.925,-1.7813,-38.1562
0.322904,0.1783,-0.6769,0.2207,-0.02,-0.07485,0.0033,-2.925,-1.7813,-38.1562
0.342904,0.2156,-0.6161,0.1195,0.0179,-0.08275,0.018,-2.925,-1.7813,-38.1562
0.362904,0.2737,-0.5256,0.0791,0.02025,-0.09625,0.02175,-2.7188,-2.0813,-37.4813
0.382904,0.2327,-0.4517,0.0451,-0.0316,-0.1091,0.00275,-2.7188,-2.0813,-37.4813
0.402904,0.3189,-0.474,0.1119,-0.05115,-0.1054,-0.03215,-2.7188,-2.0813,-37.4813
0.422904,0.3016,-0.5775,0.1677,-0.0206,-0.06085,-0.0505,-3.6938,-1.875,-37.9688
0.442904,0.2817,-0.5594,0.1686,0.0197,-0.02055,-0.03695,-3.6938,-1.875,-37.9688
0.462904,0.1876,-0.502,0.0852,0.024,-0.00405,-0.0187,-3.6938,-1.875,-37.9688
0.482904,0.1255,-0.4461,0.0127,-0.0041,-0.0217,-0.0327,-3.1125,-1.875,-38.0625
0.502904,0.0805,-0.462,0.0187,-0.02675,-0.0376,-0.04615,-3.1125,-1.875,-38.0625
0.522904,0.0019,-0.5432,0.076,-0.028,-0.01505,-0.02775,-3.1125,-1.875,-38.0625
0.542904,-0.0304,-0.5694,0.0479,-0.0218,-0.01135,-0.00035,-3.8063,-1.9875,-37.9688
0.562904,-0.0138,-0.5289,0.0268,-0.0212,-0.02725,0.0107,-3.8063,-1.9875,-37.9688
0.582904,-0.0082,-0.436,-0.0276,-0.0322,-0.0645,-0.0003,-3.8063,-1.9875,-37.9688
0.602904,-0.0089,-0.3908,-0.024,-0.0494,-0.1097,-0.0065,-3.9938,-1.7813,-37.9688
0.622904,0.0136,-0.4581,0.0441,-0.0627,-0.1293,-0.0113,-3.9938,-1.7813,-37.9688
0.642904,0.01,-0.5188,0.1969,-0.0481,-0.117,-0.0162,-3.9938,-1.7813,-37.9688
0.662904,-0.1015,-0.5697,0.2481,-0.0188,-0.0975,0.0045,-4.0875,-1.7813,-38.0625
0.682904,-0.078,-0.5492,0.2534,-0.0054,-0.062,0.0265,-4.0875,-1.7813,-38.0625
0.702904,-0.0088,-0.5239,0.206,-0.0224,-0.0327,0.0315,-4.0875,-1.7813,-38.0625
0.722904,0.0161,-0.5095,0.1865,-0.0469,-0.0082,0.0107,-4.04065,-1.8844,-37.9125
0.742904,-0.0145,-0.4451,0.1472,-0.0542,-0.0059,0.007,-3.9938,-1.9875,-37.7625
0.762904,-0.0418,-0.4809,0.147,-0.0444,-0.0144,0.0107,-3.9938,-1.9875,-37.7625
0.782904,-0.0824,-0.5548,0.1843,-0.0206,-0.02595,0.01255,-3.9938,-1.9875,-37.7625
0.802904,-0.0852,-0.5406,0.1914,-0.0072,-0.06085,0.02045,-4.3875,-1.6875,-37.9688
0.822904,-0.022,-0.4841,0.1452,-0.0066,-0.0597,0.018,-4.3875,-1.6875,-37.9688
0.842904,0.0166,-0.5362,0.1855,-0.0212,-0.0401,0.0186,-4.3875,-1.6875,-37.9688
0.862904,0.0107,-0.5533,0.2009,-0.0261,-0.03645,0.0211,-4.3875,-1.6875,-37.9688
0.882904,0.0957,-0.513,0.2183,-0.0371,-0.0358,0.02045,-4.1813,-1.5,-37.9688
0.902904,0.0872,-0.52555,0.22905,-0.0091,-0.0205,0.0205,-4.1813,-1.5,-37.9688
0.922904,0.0934,-0.4486,0.1973,0.016,-0.02175,0.03875,-4.4813,-1.3875,-37.6688
0.942904,0.148,-0.4259,0.1428,0.00685,-0.03945,0.0296,-4.4813,-1.3875,-37.6688
0.962904,0.1657,-0.4453,0.1716,-0.0121,-0.0364,0.01075,-4.4813,-1.3875,-37.6688
0.982904,0.2129,-0.5133,0.2115,-0.023,-0.0113,0.0039,-4.575,-1.5938,-37.9688
1.002904,0.1865,-0.5172,0.2145,-0.0145,0.01855,0.00515,-4.575,-1.5938,-37.9688
1.022904,0.207,-0.5812,0.2514,0.01545,0.03325,-0.00525,-4.575,-1.5938,-37.9688
1.042904,0.1557,-0.6062,0.1997,0.03555,0.01495,-0.004,-4.9688,-1.2938,-38.0625
1.062904,0.1364,-0.566,0.1579,0.03805,0.0014,-0.0052,-4.9688,-1.2938,-38.0625
1.082904,0.1257,-0.5201,0.1155,0.0289,0.0149,-0.0046,-4.9688,-1.2938,-38.0625
1.102904,0.0957,-0.5691,0.1186,0.00875,0.01425,0.0016,-5.0625,-1.5,-37.9688
1.122904,0.1229,-0.5623,0.1049,0.0111,0.01125,-0.0021,-5.0625,-1.5,-37.9688
1.142904,0.1298,-0.5012,0.0566,0.0246,0.00265,-0.0021,-5.0625,-1.5,-37.9688
1.162904,0.1206,-0.5553,0.0409,0.02155,-0.0132,0.001,-4.6688,-1.5,-38.0625
1.182904,0.1149,-0.6131,0.1229,0.0026,-0.02235,-0.0015,-4.6688,-1.5,-38.0625
1.202904,0.0731,-0.6109,0.1032,-0.0029,-0.0163,0.0034,-4.6688,-1.5,-38.0625
1.222904,0.0766,-0.5473,0.0537,0.0093,-0.0169,0.0155,-4.8188,-1.6875,-37.9125
1.242904,0.135,-0.5399,0.0207,0.00565,-0.01925,0.00885,-4.9688,-1.875,-37.7625
1.262904,0.195,-0.521,0.0691,-0.00725,-0.01995,-0.01555,-4.9688,-1.875,-37.7625
1.282904,0.1377,-0.5039,0.0739,-0.0224,0.0015,-0.0235,-4.9688,-1.6875,-38.00625
1.302904,0.1152,-0.5565,0.1453,-0.0346,0.0064,-0.00585,-4.9688,-1.5,-38.25
1.322904,0.0671,-0.5958,0.2363,-0.02365,0.03815,0.0095,-4.9688,-1.5,-38.25
1.342904,0.0507,-0.5672,0.2342,-0.00535,0.04005,0.0253,-4.9688,-1.5,-38.25
1.362904,0.1174,-0.5328,0.1206,0.0002,0.0002,0.0144,-4.9688,-1.5,-38.1562
1.382904,0.1476,-0.5131,0.0713,-0.00535,-0.0242,-0.00825,-4.9688,-1.5,-38.1562
1.402904,0.1782,-0.541,0.0453,-0.01815,-0.01435,-0.0235,-4.9688,-1.5,-38.1562
1.422904,0.1729,-0.6158,0.1027,-0.0274,0.01065,-0.0345,-4.7812,-1.3875,-38.1562
1.442904,0.1386,-0.6157,0.1641,-0.0176,0.0235,-0.0235,-4.7812,-1.3875,-38.1562
1.462904,0.0975,-0.5127,0.1762,-0.0029,0.0173,-0.0162,-4.7812,-1.3875,-38.1562
1.482904,0.0601,-0.4812,0.1757,-0.0029,-0.0107,-0.0065,-4.9688,-1.6875,-37.9688
1.502904,0.071,-0.5374,0.2327,-0.0126,-0.0389,-0.0137,-4.9688,-1.6875,-37.9688
1.522904,0.117,-0.5605,0.2046,-0.0176,-0.0082,-0.0247,-4.9688,-1.6875,-37.9688
1.542904,0.1223,-0.5605,0.1434,-0.0199,0.0148,-0.0077,-4.9688,-1.6875,-38.1562
1.562904,0.1183,-0.5917,0.1613,-0.0091,0.0368,-0.0003,-4.9688,-1.6875,-38.1562
1.582904,0.1181,-0.5501,0.1141,-0.0016,0.0345,-0.0198,-4.9688,-1.6875,-38.1562
1.602904,0.0981,-0.4884,0.0826,-0.0054,0.0198,-0.032,-4.7812,-1.6875,-37.6688
1.622904,0.0445,-0.4792,0.0877,-0.0139,-0.007,-0.026,-4.7812,-1.6875,-37.6688
1.642904,-0.0309,-0.5053,0.1519,-0.0212,-0.0217,-0.01,-4.7812,-1.6875,-37.6688
1.662904,-0.0089,-0.4804,0.1203,-0.0249,-0.0267,0.0107,-4.3875,-1.3875,-37.7625
1.682904,0.035,-0.5265,0.1498,-0.023,-0.02545,0.01315,-4.3875,-1.3875,-37.7625
1.702904,0.132,-0.5637,0.1739,-0.0114,-0.0217,0.00275,-4.3875,-1.3875,-37.7625
1.722904,0.1236,-0.53955,0.1721,-0.0016,-0.0205,-0.004,-4.3875,-1.3875,-37.7625
1.742904,0.1394,-0.5355,0.1839,0.0019,-0.0132,-0.01065,-4.9688,-1.5,-37.9688
1.762904,0.0804,-0.512,0.1858,-0.00225,-0.0169,-0.00645,-4.9688,-1.5,-37.9688
1.782904,0.0251,-0.51155,0.20175,-0.0078,-0.0169,0.012,-4.9688,-1.5,-37.9688
1.802904,0.0671,-0.5257,0.232,-0.0108,-0.0425,0.0155,-4.575,-1.5,-37.875
1.822904,0.13,-0.5149,0.2152,-0.0066,-0.0352,0.0076,-4.575,-1.5,-37.875
1.842904,0.2045,-0.5457,0.1913,-0.0054,-0.0272,0.00335,-4.575,-1.5,-37.875
1.862904,0.2045,-0.5457,0.1913,-0.00475,-0.01995,0.00035,-4.575,-1.5,-37.875
