
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.099595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.101544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.102605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.103454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.159287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.160999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.189850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.191868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.193531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.1438,28.4063,33.1688,
0.220816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.1438,28.4063,33.1688,
0.222838,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.1438,28.4063,33.1688,
0.225055,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.1438,28.4063,33.1688,
0.251339,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.1438,28.4063,33.1688,
0.254031,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.4063,28.3125,32.8500,
0.281784,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.4063,28.3125,32.8500,
0.284274,0.0000,0.0000,0.0000,0.0317,-0.0315,-0.0903,-7.4063,28.3125,32.8500,
0.285810,0.0000,0.0000,0.0000,0.0292,-0.0425,-0.0812,-7.4063,28.3125,32.8500,
0.286714,-0.1078,-0.0253,-0.1149,0.0292,-0.0425,-0.0812,-7.4063,28.3125,32.8500,
0.309802,-0.1078,-0.0253,-0.1149,0.0292,-0.0425,-0.0812,-7.4063,28.3125,32.8500,
0.310534,-0.1078,-0.0253,-0.1149,0.0292,-0.0425,-0.0812,-7.3875,28.1063,32.7188,
0.341551,-0.1078,-0.0253,-0.1149,0.0292,-0.0425,-0.0812,-7.3875,28.1063,32.7188,
0.343643,-0.1078,-0.0253,-0.1149,0.0292,-0.0425,-0.0812,-7.3875,28.1063,32.7188,
0.345424,-0.3087,-0.0741,0.1369,0.0292,-0.0425,-0.0812,-7.3875,28.1063,32.7188,
0.359743,-0.3087,-0.0741,0.1369,0.0333,-0.0536,-0.0526,-7.3875,28.1063,32.7188,
0.390407,-0.3087,-0.0741,0.1369,0.0333,-0.0536,-0.0526,-7.3875,28.1063,32.7188,
0.392314,-0.3087,-0.0741,0.1369,0.0333,-0.0536,-0.0526,-7.3875,28.1063,32.7188,
0.393988,-0.3087,-0.0741,0.1369,0.0333,-0.0536,-0.0526,-7.4438,28.2375,32.6813,
0.402988,-0.1872,0.1195,-0.0659,0.0333,-0.0536,-0.0526,-7.4438,28.2375,32.6813,
