
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.106786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.133269,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.153005,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.156132,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.185079,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.188006,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.190579,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,0.0000,0.0000,0.0000,
0.193432,0.0000,0.0000,0.0000,-0.1202,0.2102,-0.1700,-4.2750,36.0750,27.8813,
0.203785,0.0000,0.0000,0.0000,-0.0497,0.1631,-0.2270,-4.2750,36.0750,27.8813,
0.226371,0.0000,0.0000,0.0000,-0.0497,0.1631,-0.2270,-4.2750,36.0750,27.8813,
0.246268,0.0000,0.0000,0.0000,-0.0497,0.1631,-0.2270,-4.9500,36.4875,27.6750,
0.248910,-0.2040,0.0433,0.0767,-0.0497,0.1631,-0.2270,-4.9500,36.4875,27.6750,
0.250676,-0.2040,0.0433,0.0767,-0.0497,0.1631,-0.2270,-4.9500,36.4875,27.6750,
0.251869,-0.2040,0.0433,0.0767,-0.0497,0.1631,-0.2270,-4.9500,36.4875,27.6750,
0.265079,-0.2040,0.0433,0.0767,-0.1039,0.2378,-0.1409,-4.9500,36.4875,27.6750,
0.287840,-0.2040,0.0433,0.0767,-0.1039,0.2378,-0.1409,-4.9500,36.4875,27.6750,
0.289935,-0.2040,0.0433,0.0767,-0.1039,0.2378,-0.1409,-4.9500,36.4875,27.6750,
0.309248,-0.2040,0.0433,0.0767,-0.1039,0.2378,-0.1409,-5.3813,36.2438,27.5625,
0.311129,-0.2040,0.0433,0.0767,-0.1039,0.2378,-0.1409,-5.3813,36.2438,27.5625,
0.312262,-0.3271,0.2141,0.1395,-0.1039,0.2378,-0.1409,-5.3813,36.2438,27.5625,
0.327345,-0.3271,0.2141,0.1395,-0.0944,0.0615,-0.0329,-5.3813,36.2438,27.5625,
0.354543,-0.3271,0.2141,0.1395,-0.0944,0.0615,-0.0329,-5.3813,36.2438,27.5625,
0.355990,-0.3271,0.2141,0.1395,-0.0944,0.0615,-0.0329,-5.3813,36.2438,27.5625,
0.364019,-0.3271,0.2141,0.1395,-0.0944,0.0615,-0.0329,-5.3813,36.2438,27.5625,
0.365494,-0.1581,0.1652,0.4160,-0.0944,0.0615,-0.0329,-5.3813,36.2438,27.5625,
0.384011,-0.1581,0.1652,0.4160,-0.0944,0.0615,-0.0329,-5.4563,36.0563,27.6750,
0.405426,-0.1581,0.1652,0.4160,-0.0944,0.0615,-0.0329,-5.4563,36.0563,27.6750,
0.407512,-0.1581,0.1652,0.4160,-0.0522,-0.0108,-0.0069,-5.4563,36.0563,27.6750,
0.421027,-0.1581,0.1652,0.4160,-0.0522,-0.0108,-0.0069,-5.4563,36.0563,27.6750,
0.426291,-0.1581,0.1652,0.4160,-0.0522,-0.0108,-0.0069,-5.4563,36.0563,27.6750,
0.428127,0.3119,0.0576,0.3874,-0.0522,-0.0108,-0.0069,-5.4563,36.0563,27.6750,
0.446949,0.3119,0.0576,0.3874,-0.0522,-0.0108,-0.0069,-5.5875,35.7563,27.8625,
0.465018,0.3119,0.0576,0.3874,-0.0522,-0.0108,-0.0069,-5.5875,35.7563,27.8625,
0.466739,0.3119,0.0576,0.3874,0.0264,-0.0005,-0.0000,-5.5875,35.7563,27.8625,
0.484840,0.3119,0.0576,0.3874,0.0264,-0.0005,-0.0000,-5.5875,35.7563,27.8625,
0.486712,0.3119,0.0576,0.3874,0.0264,-0.0005,-0.0000,-5.5875,35.7563,27.8625,
0.488144,0.4103,0.0281,0.3513,0.0264,-0.0005,-0.0000,-5.5875,35.7563,27.8625,
0.503045,0.4103,0.0281,0.3513,0.0264,-0.0005,-0.0000,-5.9062,35.7563,27.8813,
0.523664,0.4103,0.0281,0.3513,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.525599,0.4103,0.0281,0.3513,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.543363,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.546129,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.547442,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.584935,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-5.9062,35.7563,27.8813,
0.586662,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-6.0375,35.6813,27.8250,
0.608379,0.3911,-0.0809,0.1024,0.0862,-0.0262,-0.0140,-6.0375,35.6813,27.8250,
0.610560,0.3140,-0.0894,-0.2310,0.0862,-0.0262,-0.0140,-6.0375,35.6813,27.8250,
0.612697,0.3140,-0.0894,-0.2310,0.0862,-0.0262,-0.0140,-6.0375,35.6813,27.8250,
0.613976,0.3140,-0.0894,-0.2310,0.0625,0.0666,-0.0195,-6.0375,35.6813,27.8250,
0.642510,0.3140,-0.0894,-0.2310,0.0625,0.0666,-0.0195,-6.0188,35.6625,27.6938,
0.644330,0.3140,-0.0894,-0.2310,0.0625,0.0666,-0.0195,-6.0188,35.6625,27.6938,
0.665071,0.3140,-0.0894,-0.2310,0.0625,0.0666,-0.0195,-6.0188,35.6625,27.6938,
0.668246,0.3140,-0.0894,-0.2310,0.0625,0.0666,-0.0195,-6.0188,35.6625,27.6938,
0.670868,0.3140,-0.0894,-0.2310,0.0484,-0.0043,-0.0247,-6.0188,35.6625,27.6938,
0.674883,0.0385,-0.0883,-0.2368,0.0484,-0.0043,-0.0247,-6.0188,35.6625,27.6938,
0.687846,0.0385,-0.0883,-0.2368,0.0484,-0.0043,-0.0247,-6.0188,35.6625,27.6938,
0.704130,0.0385,-0.0883,-0.2368,0.0484,-0.0043,-0.0247,-6.2625,35.7000,27.6938,
0.725339,0.0385,-0.0883,-0.2368,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.728645,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.730846,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.732342,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.754138,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.787231,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.789412,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.2625,35.7000,27.6938,
0.790884,0.0851,-0.0361,-0.3293,-0.0079,0.0167,-0.0120,-6.3938,35.6250,27.6750,
0.792496,0.0509,-0.0696,-0.2840,-0.0079,0.0167,-0.0120,-6.3938,35.6250,27.6750,
0.808262,0.0509,-0.0696,-0.2840,-0.0326,0.0023,0.0086,-6.3938,35.6250,27.6750,
0.820414,0.0509,-0.0696,-0.2840,-0.0326,0.0023,0.0086,-6.3938,35.6250,27.6750,
0.842280,0.0509,-0.0696,-0.2840,-0.0326,0.0023,0.0086,-6.3938,35.6250,27.6750,
0.843787,0.0509,-0.0696,-0.2840,-0.0326,0.0023,0.0086,-6.4313,35.7375,27.7125,
0.845582,0.2232,-0.1015,-0.0695,-0.0326,0.0023,0.0086,-6.4313,35.7375,27.7125,
0.846927,0.2232,-0.1015,-0.0695,-0.0326,0.0023,0.0086,-6.4313,35.7375,27.7125,
0.863666,0.2232,-0.1015,-0.0695,-0.0578,0.0152,-0.0210,-6.4313,35.7375,27.7125,
0.886930,0.2232,-0.1015,-0.0695,-0.0578,0.0152,-0.0210,-6.4313,35.7375,27.7125,
0.888680,0.2232,-0.1015,-0.0695,-0.0578,0.0152,-0.0210,-6.4313,35.7375,27.7125,
0.905106,0.2232,-0.1015,-0.0695,-0.0578,0.0152,-0.0210,-6.6375,35.7000,27.7500,
0.907464,0.2232,-0.1015,-0.0695,-0.0578,0.0152,-0.0210,-6.6375,35.7000,27.7500,
0.908719,0.1751,0.0709,-0.1037,-0.0578,0.0152,-0.0210,-6.6375,35.7000,27.7500,
0.927514,0.1751,0.0709,-0.1037,-0.0591,0.0266,-0.0434,-6.6375,35.7000,27.7500,
0.954876,0.1751,0.0709,-0.1037,-0.0591,0.0266,-0.0434,-6.6375,35.7000,27.7500,
0.957459,0.1751,0.0709,-0.1037,-0.0591,0.0266,-0.0434,-6.6375,35.7000,27.7500,
0.967431,0.1751,0.0709,-0.1037,-0.0591,0.0266,-0.0434,-6.6375,35.7000,27.7500,
0.969660,0.2313,-0.0643,0.1664,-0.0591,0.0266,-0.0434,-6.6375,35.7000,27.7500,
0.982984,0.2313,-0.0643,0.1664,-0.0591,0.0266,-0.0434,-6.7500,35.8313,27.6563,
1.005829,0.2313,-0.0643,0.1664,-0.0591,0.0266,-0.0434,-6.7500,35.8313,27.6563,
1.008557,0.2313,-0.0643,0.1664,-0.0604,0.1148,-0.0593,-6.7500,35.8313,27.6563,
1.022780,0.2313,-0.0643,0.1664,-0.0604,0.1148,-0.0593,-6.7500,35.8313,27.6563,
1.026043,0.1559,0.0472,0.0950,-0.0604,0.1148,-0.0593,-6.7500,35.8313,27.6563,
1.028570,0.1559,0.0472,0.0950,-0.0604,0.1148,-0.0593,-6.7500,35.8313,27.6563,
1.048124,0.1559,0.0472,0.0950,-0.0604,0.1148,-0.0593,-6.6938,35.8500,27.6563,
1.052771,0.1559,0.0472,0.0950,-0.0604,0.1148,-0.0593,-6.6938,35.8500,27.6563,
1.065007,0.1559,0.0472,0.0950,-0.0247,-0.0505,-0.0398,-6.6938,35.8500,27.6563,
1.086857,0.1559,0.0472,0.0950,-0.0247,-0.0505,-0.0398,-6.6938,35.8500,27.6563,
1.088706,0.1559,0.0472,0.0950,-0.0247,-0.0505,-0.0398,-6.6938,35.8500,27.6563,
1.090055,-0.0674,0.1993,0.3119,-0.0247,-0.0505,-0.0398,-6.6938,35.8500,27.6563,
1.107860,-0.0674,0.1993,0.3119,-0.0247,-0.0505,-0.0398,-6.6563,35.9250,27.7313,
1.125046,-0.0674,0.1993,0.3119,-0.0247,-0.0505,-0.0398,-6.6563,35.9250,27.7313,
1.126832,-0.0674,0.1993,0.3119,-0.0625,-0.0141,-0.0171,-6.6563,35.9250,27.7313,
1.143823,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.6563,35.9250,27.7313,
1.148136,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.6563,35.9250,27.7313,
1.150541,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.6563,35.9250,27.7313,
1.182973,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.6563,35.9250,27.7313,
1.185626,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.8438,35.9625,27.9188,
1.204937,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.8438,35.9625,27.9188,
1.207560,0.0393,0.1511,-0.0298,-0.0625,-0.0141,-0.0171,-6.8438,35.9625,27.9188,
1.210029,0.0393,0.1511,-0.0298,0.0308,0.0001,-0.0024,-6.8438,35.9625,27.9188,
1.213018,-0.0709,-0.0937,0.3247,0.0308,0.0001,-0.0024,-6.8438,35.9625,27.9188,
1.243163,-0.0709,-0.0937,0.3247,0.0308,0.0001,-0.0024,-6.8438,35.9625,27.9188,
1.245187,-0.0709,-0.0937,0.3247,0.0308,0.0001,-0.0024,-6.9188,35.9813,27.9938,
1.266360,-0.0709,-0.0937,0.3247,0.0308,0.0001,-0.0024,-6.9188,35.9813,27.9938,
1.268309,-0.0709,-0.0937,0.3247,0.0308,0.0001,-0.0024,-6.9188,35.9813,27.9938,
1.270448,-0.0709,-0.0937,0.3247,0.0027,-0.0938,0.0452,-6.9188,35.9813,27.9938,
1.272221,-0.1411,0.0768,0.0420,0.0027,-0.0938,0.0452,-6.9188,35.9813,27.9938,
1.287193,-0.1411,0.0768,0.0420,0.0027,-0.0938,0.0452,-6.9188,35.9813,27.9938,
1.304045,-0.1411,0.0768,0.0420,0.0027,-0.0938,0.0452,-6.8250,35.8688,28.1063,
1.326537,-0.1411,0.0768,0.0420,0.0443,-0.0311,0.0450,-6.8250,35.8688,28.1063,
1.329657,0.0813,-0.1418,0.0125,0.0443,-0.0311,0.0450,-6.8250,35.8688,28.1063,
1.333108,0.0813,-0.1418,0.0125,0.0443,-0.0311,0.0450,-6.8250,35.8688,28.1063,
1.336690,0.0813,-0.1418,0.0125,0.0443,-0.0311,0.0450,-6.8250,35.8688,28.1063,
1.352897,0.0813,-0.1418,0.0125,0.0443,-0.0311,0.0450,-6.8250,35.8688,28.1063,
1.384195,0.0813,-0.1418,0.0125,0.0443,-0.0311,0.0450,-6.6750,35.7188,28.2938,
1.387217,0.0813,-0.1418,0.0125,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.388344,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.390182,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.391230,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.419447,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.442982,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.6750,35.7188,28.2938,
1.445311,0.0044,-0.0312,-0.1583,0.0512,-0.0568,0.0334,-6.3188,35.6438,28.4063,
1.447771,-0.1267,-0.0786,-0.2202,0.0512,-0.0568,0.0334,-6.3188,35.6438,28.4063,
1.449579,-0.1267,-0.0786,-0.2202,0.0512,-0.0568,0.0334,-6.3188,35.6438,28.4063,
1.465229,-0.1267,-0.0786,-0.2202,0.0124,-0.0641,0.0592,-6.3188,35.6438,28.4063,
1.488066,-0.1267,-0.0786,-0.2202,0.0124,-0.0641,0.0592,-6.3188,35.6438,28.4063,
1.490015,-0.1267,-0.0786,-0.2202,0.0124,-0.0641,0.0592,-6.3188,35.6438,28.4063,
1.503987,-0.1267,-0.0786,-0.2202,0.0124,-0.0641,0.0592,-6.0000,35.5875,28.5375,
1.506156,-0.1267,-0.0786,-0.2202,0.0124,-0.0641,0.0592,-6.0000,35.5875,28.5375,
1.509779,-0.0384,-0.0941,-0.3638,0.0124,-0.0641,0.0592,-6.0000,35.5875,28.5375,
1.524501,-0.0384,-0.0941,-0.3638,-0.0192,-0.0910,0.0376,-6.0000,35.5875,28.5375,
1.555622,-0.0384,-0.0941,-0.3638,-0.0192,-0.0910,0.0376,-6.0000,35.5875,28.5375,
1.556897,-0.0384,-0.0941,-0.3638,-0.0192,-0.0910,0.0376,-6.0000,35.5875,28.5375,
1.568506,-0.0384,-0.0941,-0.3638,-0.0192,-0.0910,0.0376,-6.0000,35.5875,28.5375,
1.569752,0.0298,-0.0348,-0.2849,-0.0192,-0.0910,0.0376,-6.0000,35.5875,28.5375,
1.588528,0.0298,-0.0348,-0.2849,-0.0192,-0.0910,0.0376,-5.7563,35.4188,28.6688,
1.590356,0.0298,-0.0348,-0.2849,-0.0519,-0.0712,0.0335,-5.7563,35.4188,28.6688,
1.621317,0.0298,-0.0348,-0.2849,-0.0519,-0.0712,0.0335,-5.7563,35.4188,28.6688,
1.622624,0.0298,-0.0348,-0.2849,-0.0519,-0.0712,0.0335,-5.7563,35.4188,28.6688,
1.626939,0.3739,-0.1702,-0.0441,-0.0519,-0.0712,0.0335,-5.7563,35.4188,28.6688,
1.629157,0.3739,-0.1702,-0.0441,-0.0519,-0.0712,0.0335,-5.7563,35.4188,28.6688,
1.643142,0.3739,-0.1702,-0.0441,-0.0519,-0.0712,0.0335,-5.5688,35.2125,28.7625,
1.664631,0.3739,-0.1702,-0.0441,-0.0519,-0.0712,0.0335,-5.5688,35.2125,28.7625,
1.666704,0.3739,-0.1702,-0.0441,-0.0469,-0.0195,0.0120,-5.5688,35.2125,28.7625,
1.684963,0.3739,-0.1702,-0.0441,-0.0469,-0.0195,0.0120,-5.5688,35.2125,28.7625,
1.686536,0.3739,-0.1702,-0.0441,-0.0469,-0.0195,0.0120,-5.5688,35.2125,28.7625,
1.687525,0.2998,-0.0285,-0.1865,-0.0469,-0.0195,0.0120,-5.5688,35.2125,28.7625,
1.705750,0.2998,-0.0285,-0.1865,-0.0469,-0.0195,0.0120,-5.1750,35.0625,28.8563,
1.727998,0.2998,-0.0285,-0.1865,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.731291,0.2998,-0.0285,-0.1865,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.747196,0.2998,-0.0285,-0.1865,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.749827,0.2998,-0.0285,-0.1865,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.752182,0.4235,-0.0837,-0.0970,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.782897,0.4235,-0.0837,-0.0970,-0.0833,0.0475,-0.0649,-5.1750,35.0625,28.8563,
1.785116,0.4235,-0.0837,-0.0970,-0.0833,0.0475,-0.0649,-4.8938,34.7250,28.8938,
1.787022,0.4235,-0.0837,-0.0970,-0.0919,0.1430,-0.0766,-4.8938,34.7250,28.8938,
1.805940,0.4235,-0.0837,-0.0970,-0.0919,0.1430,-0.0766,-4.8938,34.7250,28.8938,
1.808189,0.4235,-0.0837,-0.0970,-0.0919,0.1430,-0.0766,-4.8938,34.7250,28.8938,
1.809760,0.1991,0.2378,-0.0597,-0.0919,0.1430,-0.0766,-4.8938,34.7250,28.8938,
1.845661,0.1991,0.2378,-0.0597,-0.0919,0.1430,-0.0766,-4.8938,34.7250,28.8938,
1.848282,0.1991,0.2378,-0.0597,-0.0919,0.1430,-0.0766,-4.8375,34.5375,29.0063,
1.866152,0.1991,0.2378,-0.0597,-0.0919,0.1430,-0.0766,-4.8375,34.5375,29.0063,
1.868475,0.1991,0.2378,-0.0597,-0.0919,0.1430,-0.0766,-4.8375,34.5375,29.0063,
1.870098,0.0318,0.3348,0.0057,-0.0919,0.1430,-0.0766,-4.8375,34.5375,29.0063,
1.872429,0.0318,0.3348,0.0057,-0.1592,0.0798,-0.0899,-4.8375,34.5375,29.0063,
1.888232,0.0318,0.3348,0.0057,-0.1592,0.0798,-0.0899,-4.8375,34.5375,29.0063,
1.908947,0.0318,0.3348,0.0057,-0.1592,0.0798,-0.0899,-4.8563,34.4625,29.1938,
1.929179,0.0318,0.3348,0.0057,-0.1592,0.0798,-0.0899,-4.8563,34.4625,29.1938,
1.931977,0.0318,0.3348,0.0057,-0.1592,0.0798,-0.0899,-4.8563,34.4625,29.1938,
1.933950,0.0318,0.3348,0.0057,-0.1302,0.0132,-0.0128,-4.8563,34.4625,29.1938,
1.936795,-0.1728,0.1942,0.3049,-0.1302,0.0132,-0.0128,-4.8563,34.4625,29.1938,
1.954370,-0.1728,0.1942,0.3049,-0.1302,0.0132,-0.0128,-4.8563,34.4625,29.1938,
1.984786,-0.1728,0.1942,0.3049,-0.1302,0.0132,-0.0128,-4.8563,34.4625,29.1938,
1.987293,-0.1728,0.1942,0.3049,-0.1302,0.0132,-0.0128,-4.9875,34.3125,29.3438,
1.989608,-0.1728,0.1942,0.3049,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
1.991719,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
1.993880,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
2.022282,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
2.047897,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
2.050408,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-4.9875,34.3125,29.3438,
2.052308,-0.1343,0.2010,0.1277,-0.1569,0.0660,0.0653,-5.1938,34.1438,29.6063,
2.054428,-0.0885,0.0842,0.1477,-0.1569,0.0660,0.0653,-5.1938,34.1438,29.6063,
2.067046,-0.0885,0.0842,0.1477,-0.1136,-0.0295,0.1694,-5.1938,34.1438,29.6063,
2.088988,-0.0885,0.0842,0.1477,-0.1136,-0.0295,0.1694,-5.1938,34.1438,29.6063,
2.090779,-0.0885,0.0842,0.1477,-0.1136,-0.0295,0.1694,-5.1938,34.1438,29.6063,
2.102969,-0.0885,0.0842,0.1477,-0.1136,-0.0295,0.1694,-5.0813,33.8813,29.7938,
2.105418,-0.0885,0.0842,0.1477,-0.1136,-0.0295,0.1694,-5.0813,33.8813,29.7938,
