time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.131695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.013569485859869307,non_fall
0.132272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0005769999999999942,0.0,-0.025077784256463315,non_fall
0.132817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0005449999999999899,0.0,-0.03680772560876787,non_fall
0.133376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0005590000000000039,0.0,-0.047364999713803674,non_fall
0.133786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0004099999999999937,0.0,-0.05506326457594818,non_fall
0.165475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03168900000000002,0.0,-0.05802238066240488,non_fall
0.166999,0.0,0.0,0.0,0.6763,0.1683,-0.1357,0.0,0.0,0.0,,0.0015239999999999976,0.0,-0.05430913217981649,non_fall
0.180129,0.0,0.0,0.0,0.6763,0.1683,-0.1357,0.0,0.0,0.0,,0.013130000000000003,0.0,-0.04211325528660728,non_fall
0.188932,0.0,0.0,0.0,0.6763,0.1683,-0.1357,19.95,-28.2938,-28.8563,,0.008802999999999978,0.0,-0.019944996954697515,non_fall
0.191335,0.0,0.0,0.0,0.6763,0.1683,-0.1357,19.95,-28.2938,-28.8563,,0.0024030000000000162,0.0,0.013166311065671066,non_fall
0.205037,0.0,0.0,0.0,0.6763,0.1683,-0.1357,19.95,-28.2938,-28.8563,,0.013701999999999992,0.0,0.05749920328454855,non_fall
0.205874,0.0,0.0,0.0,0.6763,0.1683,-0.1357,19.95,-28.2938,-28.8563,,0.0008370000000000044,0.0,0.11252333626145328,non_fall
0.224757,0.0,0.0,0.0,1.1164,-0.1171,0.265,19.95,-28.2938,-28.8563,,0.01888300000000001,0.0,0.1768710428026472,non_fall
0.243142,0.0,0.0,0.0,1.1164,-0.1171,0.265,19.95,-28.2938,-28.8563,,0.018384999999999985,0.0,0.24842601952098597,non_fall
0.25103,0.0,0.0,0.0,1.1164,-0.1171,0.265,19.95,-28.2938,-28.8563,,0.007887999999999978,0.0,0.3245490817616594,non_fall
0.252344,0.0,0.0,0.0,1.1164,-0.1171,0.265,19.6313,-30.1688,-27.6938,,0.0013140000000000374,0.0,0.4024449789611928,non_fall
0.269134,0.0,0.0,0.0,1.1164,-0.1171,0.265,19.6313,-30.1688,-27.6938,,0.01678999999999997,0.0,0.4796501516275995,non_fall
0.271623,-0.1297,-0.3709,1.2388,1.1164,-0.1171,0.265,19.6313,-30.1688,-27.6938,,0.002489000000000019,1.2996208447081785,0.554588810759927,non_fall
0.285861,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,,0.014237999999999973,1.2996208447081785,0.6271079070425025,non_fall
0.310875,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,,0.025014000000000036,1.2996208447081785,0.6988734645868445,non_fall
0.313907,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,,0.003031999999999979,1.2996208447081785,0.7735099960371925,non_fall
0.329337,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,,0.01543,1.2996208447081785,0.8564007290895037,non_fall
0.332516,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,,0.0031789999999999874,0.9604900624160565,0.9541297571468399,non_fall
0.335963,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.1625,-31.5563,-26.7188,,0.0034470000000000334,0.9604900624160565,1.0736179829638846,non_fall
0.375955,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.1625,-31.5563,-26.7188,,0.03999199999999997,0.9604900624160565,1.2210654766784612,non_fall
0.379154,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,,0.0031990000000000074,0.9604900624160565,1.4008528702541183,non_fall
0.381875,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,,0.002721000000000029,0.9604900624160565,1.6145685810490753,non_fall
0.393154,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,,0.011278999999999983,0.9604900624160565,1.8603166731092131,non_fall
0.395166,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,,0.0020120000000000138,2.2265389239804456,2.1324241043341288,non_fall
0.397602,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,18.4125,-33.4875,-24.825,,0.0024359999999999937,2.2265389239804456,2.421610096255974,non_fall
0.426483,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,18.4125,-33.4875,-24.825,,0.02888099999999999,2.2265389239804456,2.715614574823298,non_fall
0.429405,-0.4587,-1.2342,1.7955,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.825,,0.00292199999999998,2.2265389239804456,3.0002216687546777,non_fall
0.446531,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.825,,0.01712600000000003,4.24505340131311,3.2605652237010667,non_fall
0.450163,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.825,,0.0036319999999999686,4.24505340131311,3.4825624865431144,non_fall
