time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.014958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.010230431054237817,non_fall
0.02447,0.3448,-0.446,0.556,0.0,0.0,0.0,0.0,0.0,0.0,,0.009511999999999998,0.791794821907797,0.11813949296117589,non_fall
0.04408,0.144,-0.3501,-0.0756,0.0,0.0,0.0,0.0,0.0,0.0,,0.019610000000000002,0.386032861295512,0.22303762194623217,non_fall
0.066594,0.144,-0.3501,-0.0756,0.0,0.0,0.0,0.0,0.0,0.0,,0.022514,0.386032861295512,0.3219201603956196,non_fall
0.067415,0.144,-0.3501,-0.0756,0.1598,0.0078,-0.0242,0.0,0.0,0.0,,0.0008210000000000023,0.386032861295512,0.41211688526287615,non_fall
0.067983,-0.0811,-0.2719,-0.6754,0.1598,0.0078,-0.0242,0.0,0.0,0.0,,0.0005679999999999991,0.7325789923277899,0.49145692118617595,non_fall
0.068578,-0.0811,-0.2719,-0.6754,0.1598,0.0078,-0.0242,11.025,-49.2188,-2.4938,,0.0005949999999999983,0.7325789923277899,0.558373571562131,non_fall
0.088335,-0.1733,-0.2137,-0.8083,0.1598,0.0078,-0.0242,11.025,-49.2188,-2.4938,,0.019756999999999997,0.8538439377310119,0.6119459469663158,non_fall
0.101519,0.0293,-0.201,-0.2503,0.1598,0.0078,-0.0242,11.025,-49.2188,-2.4938,,0.013184000000000001,0.3223500891887577,0.6518820569553722,non_fall
0.110628,0.0293,-0.201,-0.2503,0.1598,0.0078,-0.0242,11.025,-49.2188,-2.4938,,0.009109000000000006,0.3223500891887577,0.6784560718092413,non_fall
0.121516,0.3526,-0.3358,0.3544,0.1598,0.0078,-0.0242,11.025,-49.2188,-2.4938,,0.010887999999999995,0.6022356349469865,0.6924190999604629,non_fall
0.124745,0.3526,-0.3358,0.3544,-0.1689,-0.0703,0.0833,11.025,-49.2188,-2.4938,,0.0032289999999999958,0.6022356349469865,0.694903823438328,non_fall
0.126062,0.3526,-0.3358,0.3544,-0.1689,-0.0703,0.0833,11.0438,-49.5188,-2.2875,,0.0013170000000000126,0.6022356349469865,0.6873369375229117,non_fall
0.142315,0.6158,-0.3966,0.692,-0.1689,-0.0703,0.0833,11.0438,-49.5188,-2.2875,,0.01625299999999999,1.0076533133970234,0.6713627854671024,non_fall
0.158512,0.6158,-0.3966,0.692,-0.1689,-0.0703,0.0833,11.0438,-49.5188,-2.2875,,0.01619699999999999,1.0076533133970234,0.6487722688116128,non_fall
0.160595,0.5619,-0.3506,0.4638,-0.1689,-0.0703,0.0833,11.0438,-49.5188,-2.2875,,0.0020830000000000015,0.8085557556532511,0.6214271352527174,non_fall
