time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0065467411880066086,non_fall
0.092372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0009720000000000006,0.0,0.004674629426760209,non_fall
0.093239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0008670000000000067,0.0,0.0017119345916422985,non_fall
0.142629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04939,0.0,-0.0022800201207304922,non_fall
0.145045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0024160000000000015,0.0,-0.007090640404290485,non_fall
0.146788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0017429999999999946,0.0,-0.012338999361884873,non_fall
0.153065,0.0,0.0,0.0,0.0,0.0,0.0,-20.1188,18.075,35.175,,0.006277000000000005,0.0,-0.01746543644122356,non_fall
0.209736,0.0,0.0,0.0,0.0,0.0,0.0,-20.1188,18.075,35.175,,0.056671,0.0,-0.021739775893721412,non_fall
0.212013,0.0,0.0,0.0,0.0,0.0,0.0,-20.1188,18.075,35.175,,0.0022770000000000012,0.0,-0.024289117495475382,non_fall
0.21355,0.0,0.0,0.0,0.0,0.0,0.0,-20.1188,18.075,35.175,,0.0015369999999999828,0.0,-0.02414651315283562,non_fall
0.214938,0.0,0.0,0.0,0.0,0.0,0.0,-20.5688,17.5125,34.8188,,0.0013880000000000003,0.0,-0.020319609609134103,non_fall
0.216899,0.0,0.0,0.0,0.1071,0.0469,-0.0713,-20.5688,17.5125,34.8188,,0.0019610000000000183,0.0,-0.011875642896791895,non_fall
0.272329,0.0,0.0,0.0,0.1071,0.0469,-0.0713,-20.5688,17.5125,34.8188,,0.05542999999999998,0.0,0.001963741233243818,non_fall
0.274641,0.0,0.0,0.0,0.1071,0.0469,-0.0713,-20.5688,17.5125,34.8188,,0.0023120000000000362,0.0,0.021727129269852347,non_fall
0.276598,0.0,0.0,0.0,0.1071,0.0469,-0.0713,-20.5688,17.5125,34.8188,,0.0019569999999999865,0.0,0.047608858086055444,non_fall
0.278286,0.0,0.0,0.0,0.1071,0.0469,-0.0713,-20.7188,17.6438,34.6313,,0.0016879999999999673,0.0,0.07940770951963533,non_fall
0.280333,0.0,0.0,0.0,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.002047000000000021,0.0,0.11650003462027186,non_fall
0.282486,-0.0535,0.0529,-0.2047,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.002153000000000016,0.21808885803726882,0.1578549401997702,non_fall
0.284369,-0.0535,0.0529,-0.2047,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.001882999999999968,0.21808885803726882,0.20209300688854645,non_fall
0.337523,-0.0535,0.0529,-0.2047,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.053154000000000035,0.21808885803726882,0.24758285629071594,non_fall
0.340817,-0.0535,0.0529,-0.2047,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.0032939999999999636,0.21808885803726882,0.29256430079158247,non_fall
0.343257,-0.1144,0.2054,-0.3957,0.1465,0.0121,-0.0788,-20.7188,17.6438,34.6313,,0.0024399999999999977,0.460277101320498,0.3352839993974212,non_fall
0.345958,-0.1144,0.2054,-0.3957,0.0561,-0.0173,-0.0826,-20.7188,17.6438,34.6313,,0.002701000000000009,0.460277101320498,0.37412843517526523,non_fall
0.349237,-0.1144,0.2054,-0.3957,0.0561,-0.0173,-0.0826,-20.7188,17.6438,34.6313,,0.003279000000000032,0.460277101320498,0.40773880715391037,non_fall
0.352499,-0.1144,0.2054,-0.3957,0.0561,-0.0173,-0.0826,-20.9438,17.5312,34.5938,,0.003261999999999987,0.460277101320498,0.4350944342894448,non_fall
0.400194,-0.2562,0.1181,-0.3495,0.0561,-0.0173,-0.0826,-20.9438,17.5312,34.5938,,0.04769499999999999,0.44915064288053735,0.45555676442913046,non_fall
0.403962,-0.2562,0.1181,-0.3495,0.0561,-0.0173,-0.0826,-20.9438,17.5312,34.5938,,0.0037679999999999936,0.44915064288053735,0.46887361486272955,non_fall
0.406281,-0.2562,0.1181,-0.3495,0.0561,-0.0173,-0.0826,-20.9438,17.5312,34.5938,,0.0023190000000000155,0.44915064288053735,0.47514981568294556,non_fall
0.408447,-0.2562,0.1181,-0.3495,0.0561,-0.0173,-0.0826,-20.9438,17.5312,34.5938,,0.0021660000000000013,0.44915064288053735,0.4747940609479275,non_fall
0.411397,-0.2562,0.1181,-0.3495,0.0561,-0.0173,-0.0826,-20.925,17.325,34.65,,0.002950000000000008,0.44915064288053735,0.4684523995951985,non_fall
0.419213,-0.2562,0.1181,-0.3495,-0.0277,-0.0697,-0.0331,-20.925,17.325,34.65,,0.00781599999999999,0.44915064288053735,0.4569372893533144,non_fall
0.459192,-0.2562,0.1181,-0.3495,-0.0277,-0.0697,-0.0331,-20.925,17.325,34.65,,0.03997899999999999,0.44915064288053735,0.44115856585203816,non_fall
0.462608,-0.2562,0.1181,-0.3495,-0.0277,-0.0697,-0.0331,-20.925,17.325,34.65,,0.00341600000000003,0.44915064288053735,0.42206002558153716,non_fall
0.46494,-0.2562,0.1181,-0.3495,-0.0277,-0.0697,-0.0331,-20.925,17.325,34.65,,0.0023320000000000007,0.44915064288053735,0.4005634110587199,non_fall
0.467267,-0.2859,0.1065,-0.0123,-0.0277,-0.0697,-0.0331,-20.925,17.325,34.65,,0.002326999999999968,0.3053397288267611,0.3775210339102563,non_fall
0.475336,-0.2859,0.1065,-0.0123,-0.0277,-0.0697,-0.0331,-20.9062,17.2875,34.7438,,0.008068999999999993,0.3053397288267611,0.353679116303834,non_fall
0.47888,-0.2859,0.1065,-0.0123,0.0194,-0.0798,-0.0103,-20.9062,17.2875,34.7438,,0.0035439999999999916,0.3053397288267611,0.329655108322639,non_fall
0.481971,-0.2859,0.1065,-0.0123,0.0194,-0.0798,-0.0103,-20.9062,17.2875,34.7438,,0.0030910000000000104,0.3053397288267611,0.30593195946444646,non_fall
0.517948,-0.2859,0.1065,-0.0123,0.0194,-0.0798,-0.0103,-20.9062,17.2875,34.7438,,0.03597699999999998,0.3053397288267611,0.2828697479026056,non_fall
0.520521,-0.2859,0.1065,-0.0123,0.0194,-0.0798,-0.0103,-20.9062,17.2875,34.7438,,0.0025730000000000475,0.3053397288267611,0.2607313864417159,non_fall
0.522377,-0.1642,-0.0909,0.0981,0.0194,-0.0798,-0.0103,-20.9062,17.2875,34.7438,,0.0018559999999999688,0.21177360553194538,0.23971644302454223,non_fall
0.536485,-0.1642,-0.0909,0.0981,0.059,-0.1057,-0.0018,-20.9062,17.2875,34.7438,,0.01410800000000001,0.21177360553194538,0.219996581642512,non_fall
0.541922,-0.1642,-0.0909,0.0981,0.059,-0.1057,-0.0018,-20.9062,17.2875,34.7438,,0.005437000000000025,0.21177360553194538,0.20174721464739784,non_fall
0.551177,-0.1642,-0.0909,0.0981,0.059,-0.1057,-0.0018,-20.925,17.25,34.8,,0.009255000000000013,0.21177360553194538,0.18517123926450232,non_fall
0.575749,-0.1642,-0.0909,0.0981,0.059,-0.1057,-0.0018,-20.925,17.25,34.8,,0.024571999999999927,0.21177360553194538,0.1705113719529644,non_fall
0.577196,-0.1642,-0.0909,0.0981,0.059,-0.1057,-0.0018,-20.925,17.25,34.8,,0.001447000000000087,0.21177360553194538,0.1580481094398839,non_fall
0.578251,-0.1131,0.0347,0.0246,0.059,-0.1057,-0.0018,-20.925,17.25,34.8,,0.0010549999999999171,0.12083401838886267,0.14808186553578048,non_fall
0.608612,-0.1131,0.0347,0.0246,0.059,-0.1057,-0.0018,-20.925,17.25,34.8,,0.030361000000000082,0.12083401838886267,0.14090077834482526,non_fall
0.610839,-0.1131,0.0347,0.0246,0.059,-0.1057,-0.0018,-20.7938,17.2688,34.8375,,0.002226999999999979,0.12083401838886267,0.1367391773975801,non_fall
0.615659,-0.1131,0.0347,0.0246,0.1051,-0.0829,0.0273,-20.7938,17.2688,34.8375,,0.0048199999999999354,0.12083401838886267,0.13573415425402985,non_fall
0.637089,-0.1131,0.0347,0.0246,0.1051,-0.0829,0.0273,-20.7938,17.2688,34.8375,,0.02143000000000006,0.12083401838886267,0.13788808792826604,non_fall
0.638561,-0.1131,0.0347,0.0246,0.1051,-0.0829,0.0273,-20.7938,17.2688,34.8375,,0.0014720000000000288,0.12083401838886267,0.1430436405061381,non_fall
0.639585,-0.0372,0.0307,-0.1478,0.1051,-0.0829,0.0273,-20.7938,17.2688,34.8375,,0.0010239999999999139,0.15547080111712294,0.15087562380140804,non_fall
0.670771,-0.0372,0.0307,-0.1478,0.1051,-0.0829,0.0273,-20.7938,17.2688,34.8375,,0.031186000000000047,0.15547080111712294,0.1609019225342855,non_fall
