filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_wrist_ll_1.csv,1.716151,25.507611166992398,367,197,170
p10_wrist_ll_2.csv,2.087119,27.020030629101772,814,195,619
p10_wrist_ll_3.csv,2.59059,14.618064224301852,749,195,554
p1_wrist_lr_1.csv,1.902876,53.00154241539731,982,193,789
p1_wrist_lr_2.csv,1.552285,39.60640619475101,776,193,583
p1_wrist_lr_3.csv,2.12099,46.52053528530638,678,193,485
p2_wrist_lr_1.csv,2.218187,39.441649007624214,669,195,474
p2_wrist_lr_2.csv,2.006055,28.459070090937562,609,195,414
p2_wrist_lr_3.csv,2.077113,28.355838566866503,604,195,409
p3_wrist_lr_1.csv,3.20436,48.99270270927816,855,195,660
p3_wrist_lr_2.csv,3.72138,59.428880593189334,769,195,574
p3_wrist_lr_3.csv,3.761437,36.34717416262199,754,195,559
p4_wrist_ll-1.csv,2.993166,10.684388815860382,832,193,639
p4_wrist_ll_2.csv,2.154259,12.378403511990557,571,193,378
p4_wrist_ll_3.csv,2.43542,14.04392095941305,540,195,345
p5_wrist_ll_1.csv,1.718292,15.926496119123662,783,195,588
p5_wrist_ll_2.csv,1.605772,22.6726060898144,617,195,422
p5_wrist_ll_3.csv,2.27605,18.74417489529278,645,195,450
p6_wrist_ll_1.csv,1.885881,19.486540361829324,685,203,482
p6_wrist_ll_2.csv,2.171936,17.85746585836009,949,213,736
p6_wrist_ll_3.csv,2.054642,13.337278854248375,918,213,705
p7_wrist_lr_1.csv,3.911865,22.999476816917124,1784,193,1591
p7_wrist_lr_2.csv,3.199237,28.17071742902559,1259,193,1066
p7_wrist_lr_3.csv,3.240171,46.41611383986629,1140,193,947
p8_wrist_ll_1 (2).csv,7.162904,25.56600769705458,614,101,513
p8_wrist_ll_2.csv,4.977388,16.418289075568104,1016,195,821
p8_wrist_ll_3.csv,2.930465,14.763011057806072,1084,193,891
p9_wrist_lr_1.csv,3.185733,24.30718454075815,878,195,683
p9_wrist_lr_2.csv,3.41063,23.267731797839126,920,195,725
p9_wrist_lr_3.csv,4.190715,15.95904747402116,847,195,652
